content,link,heading
"
                        (ප්‍රසන්න පත්මසිරි)

 
මැදගම පොලිස් සිරමැදිරියේ සිටි සැකකරුවකු වන සිය පුතාට  කෑම පාර්සලයක් සමග හෙරෝයින් මත්කුඩු හා දුම්වැටි  ගෙනැවිත් දුන්  පියා අත් අඩංගුවට ගත් බව පොලීසිය කියයි.
 
මැදගම බකිනිගහවෙල පදිංචිව සිටි සොරකම් ඇතුලු දුෂණ සිද්ධි ගණනාවකට වරෙන්තු වී පොලීසිය මග හරිමින් ප්‍රදේශය අතහැර ගොස් සිටි පුද්ගලයකු වන සැකකාර පුතා ,  ඊයේ (17) සවස  පොලීසිය ඉදිරිපිට තිබු තම ඥතියෙකුගේ මළ ගෙදරකට පැමිණ සිටියදී  අත්අඩංගුවට ගෙන තිබිණි.
 
අනතුරුව අත් අඩංගුවට ගත්  ඔහු  අද  18  බිබිල මහේස්ත්‍රාත් අධිකරණයට ඉදිරිපත් කිරීම සදහා පොලිස් සිරමැදිරියේ රඳවා සිටියදී සැකකරුට රාත්‍රි ආහාරය සදහා ගෙනැවිත් දුන් බත් පාර්සලය සමග සිගරට් පැකට්ටුවක දමා හෙරෝයින් මත් කුඩු ගෑමිස් 25ක පැකට්ටුවක්,සිගරට් හයක්,ගිනිපෙට්ටියක්  පියා විසින් ලබා දී ඇති අතර  එම අවස්ථාවේදීම පියා  අත් අඩංගුවට ගත් බව පොලීසිය කියයි.

සැකකරුවන් දෙදෙනාම අද (18) අධිකරණයට ඉදිරිපත් කිරීමට නියමිතය.

  
                    ",http://www.lankadeepa.lk/latest_news/පොලිස්-සිර-මැදිරියේ-සිටි-පුතාට--මත්කුඩු-ගෙනැවිත්-දුන්-පියා-අත්අඩංගුවට/1-544103,පොලිස් සිර මැදිරියේ සිටි පුතාට  මත්කුඩු ගෙනැවිත් දුන් පියා අත්අඩංගුවට
"
                        (මනෝප‍්‍රිය ගුණසේකර)
 
 
කොහුවල ප‍්‍රදේශයේ කොකේන් මත්ද්‍රව්‍ය බේදා හරිනු ලැබු ජාවාරම් කරුවකුට කොළඹ මහාධිකරණ විනිසුරු ගිහාන් කුලතුංග මහතා අද(17)  මරණ දඬුවම  නියම කළේය.
 
 
මත්ද්‍රව්‍ය නිසා සමාජය මහත් ඛේදජනක තත්වයකට මුහුණ පා ඇති බව පෙන්වා දුන් විනිසුරුවරයා ඒ තත්වයෙන් සමාජය මුදා ගැනීම සඳහා සමාජයට ආදර්ශයක් වන අන්දමට මත්ද්‍රව්‍ය ජාවාරම්කරුවන්ට දැඩි දැඩි දඬුවම් නියම කරන බව විත්තිකරුට දඬුවම් නියම කරමින් විනිසුරවරයා සඳහන් කළේය.
 
 
චෝදනාවන්ට වරදකරුවීම නිසා මෙලෙස දඬුවම් නියම කරන ලද්දේ කොහුවල ප‍්‍රදේශයේ පදිංචි නලීන් ෂාරුක් කුලතුංග නමැත්තාටය.
 
 
මෙම විත්තිකරු සමඟම චෝදනා ලැබ සිටි අනෙක් විත්තිකරුට එරෙහි චෝදනා පැමිණිල්ල විසින් සාධාරණ සැකයකින් තොරව ඔප්පු කොට ඇතැයි තීරණය කරමින් එම විත්තිකරු නිදහස් කිරීමට විනිසුරුවරයා නියම කළේය.
 
 
2012 වසරේ කොහුවල ප‍්‍රදේශයේදී කොකේන් ග්‍රෑම් 62.06 ක් ලඟ තබා ගැනීම සහ ජාවාරම් කිරීම යටතේ විත්තිකරුට එරෙහිව නීතීපතිවරයා විසින් චෝදනා නඟා තිබිණි.


මේ සම්බන්ධයෙන් පැවැති දීර්ඝ නඩු විභාගයේදී පොලිස් මත්දව්‍ය නාශක කාර්යංශයේ නිලධාරීන්ට ලැබුණු තොරතුරුකට අනුව කෙහුවල ප‍්‍රදේශයේ සිදුකළ මෙහෙයුමකදී මෙම විත්තිකරු පරීක්‍ෂාවට ලක් කොට ඇති බවත් ඒ අවස්ථාවේ විත්තිකරු සන්තකයේ තිබී කොකේන් සොයාගෙන ඇති බවත් නඩු විභාගයේදී හෙළි විය.
 
 
මේ සම්බන්ධයෙන් පැවැති දීර්ඝ නඩු විභාගයේදී විත්තිකරුට එරෙහි චෝදනා පැමිණිල්ල විසින් සාධාරණ සැකයකින් තොරව ඔප්පු කොට ඇතැයි තීරණය කළ විනිසුරුවරයා විත්තිකරුට මරණීය දඬුවම් නියම කළේය. 
                    ",http://www.lankadeepa.lk/latest_news/කොකේන්-ජාවාරම්කරුට-මරණ-දඬුවම්/1-544048,කොකේන් ජාවාරම්කරුට මරණ දඬුවම්
"
                        අක්කරේපත්තුව  මහ නගර සභාවේ  නියෝජ්‍ය නගරාධිපති අබ්දුල් ගෆීර් අස්මී  මහතා ත්‍රස්ත විමර්ශන ඒකකය මගින්  අද (17) අත්අඩංගුවට ගෙන ඇත.

 අධිකරණයේ පැවැති නඩුවක් සඳහා පෙනී  නොසිටීම හේතුවෙන්  උප නගරාධිපතිවරයා මෙලෙස අත්අඩංගුවට ගෙන  ඇතැයි පොලිසිය පවසයි.

 ඔහු අද කොළඹ මහෙස්ත්‍රාත් අධිකරණයට ඉදිරිපත් කිරීමට නියමිතය.

(36698) 
                    ",http://www.lankadeepa.lk/latest_news/අක්කරේපත්තුව-උප-නගරාධිපතිවරයා-අත්අඩංගුවට/1-544047,අක්කරේපත්තුව උප නගරාධිපතිවරයා අත්අඩංගුවට
"
                        (රන්ජන් කස්තුරි)   
 
                                    
රජයේ මූල්‍ය අවශ්‍යතා සඳහා මහා භාණ්ඩාගාරය ශ්‍රී ලංකා මහබැංකුවෙන් රුපියල් කෝටි 9000ක් ලබාගෙන තිබේ.   
 
එම මුදල ලබාගෙන ඇත්තේ ශ්‍රී ලංකා මහබැංකුවට භාණ්ඩාගාර බිල්පත් අලෙවි කිරීමෙනි.   

                                                 
මේ වසරේ ජනවාරි මාසය සඳහා මහා භාණ්ඩාගාරයට ලැබිය යුතුව තිබූ සැලසුම්ගත විදේශ මුදල් ලැබීම ප්‍රමාද වීම හේතුවෙන් මෙලෙස භාණ්ඩාගාර බිල්පත් නිකුත් කිරීමට සිදුව ඇතැයි මුදල් අමාත්‍යංශය සඳහන් කරයි. 
 
 මේ අතර ශ්‍රී ලංකා මහබැංකුව සඳහන් කළේ ජාතික අවශ්‍යතාවය සහ සුවිශේෂී තත්ත්වයන් සලකා බලා මහා භාණ්ඩාගාරයේ ඉල්ලීම ඉටුකළ බවය.     
 
          රජයේ ණය ලබාගැනීම් සාක්ෂාත්  වූ පසු එම ගනුදෙනුවේ කොටසක් පෙබරවාරි මාසයේදී ගෙවීමටත් ඉතිරි කොටස මේ වසරේ පළමු කාර්තුව තුළ ආපසු ගෙවීමටත් රජය එකඟතාව පළ කර තිබේ. 
                    ",http://www.lankadeepa.lk/latest_news/මහා-භාණ්ඩාගාරයට-මහ-බැංකුවෙන්-කෝටි-9000-ක්/1-544051,මහා භාණ්ඩාගාරයට මහ බැංකුවෙන් කෝටි 9000 ක්
"
                        
ලංකාවේ ජීවත්වන සියලුම ජනතාවට  ඊ-හෙල්ත් කාඩ්පත නිකුත් කිරීම පෙබරවාරි මාසයේ දී ආරම්භ කරන  බව සෞඛ්‍ය, පෝෂණ හා දේශීය වෛද්‍ය අමාත්‍ය දොස්තර රාජිත සේනාරත්න මහතා  පැවසීය.
 
ඊ-හෙල්ත් කාඩ්පත නිකුත් කිරිම තුළින් කිසියම් රෝගියෙකුගේ සම්පුර්ණ රෝගී වාර්තා ඊට ඇතුළත් කර තිබීම නිසා ඕනෑම ප්‍රදේශයක වෛද්‍යවරයෙකුට කඩිනමින් ප්‍රතිකාර කිරිමට හැකියාව ලැබෙන බව සෞඛ්‍ය අමාත්‍යවරයා අවධාරණය කර සිටියි.
 
 ඊ-හෙල්ත් කාඩ්පත ශ්‍රී ලංකාවට හදුන්වාදීම 2018 වසරේ අප්‍රේල් මස 07 දින පැවැති ලෝක සෞඛ්‍ය සංවිධානයේ 71 වන සංවත්සර උළෙලේ දී සිදු කෙරිණි.
 
ඉන්දියාවේ අන්ද්‍රා ප්‍රදේශයේ ජනතාවට ඊ-හෙල්ත් කාඩ්පත ලබාදුන් සමාගම විසින් මෙම වැඩපිළිවෙල ද ක්‍රියාත්මක කරයි. 

කළුතර මහ රෝහලල බණ්ඩාරගම දිසා රෝහල කේන්ද්‍ර කර ගනිමින් මූලික අදියරේ ඊ-හෙල්ත් කාඩ්පත් නිකුත් කිරිම ආරම්භ කිරීමට සැළසුම් කර තිබේ.
 
නව තාක්ෂණය හදුන්වාදීම තුළින් ජනතාවට කඩිනමින් සේවා කටයුතු සිදු කිරීමට හැකියාව ලැබෙන බව සෞඛ්‍ය අමාත්‍යවරයා වැඩිදුරටත් සදහන් කරයි.
 
මේ අතර දිවයින පුරා රෝහල් පරිගණක ගත කිරීමේ වැඩපිළිවෙල ද සාර්ථකව ක්‍රියාත්මක වෙමින් පවතින බව පැවැසු අමාත්‍යවරයා  හොරණ මූලික රෝහලෙන් 2015 වසරේ දී ආරම්භ කළ එම වැඩපිළිවෙල මේ වන විට රෝහල් 500 කට ආසන්න සංඛ්‍යාවක් පරිගණක ගත කර  ඇතැයි ද පැවසීය.

(36698) 
                    ",http://www.lankadeepa.lk/latest_news/ඊ--හෙල්ත්-කාඩ්පත---නිකුත්-කිරීම-පෙබරවාරියේදී/1-544050,ඊ- හෙල්ත් කාඩ්පත   නිකුත් කිරීම පෙබරවාරියේදී
"
                        (ශාන්ත ප්‍රදීප් කුලරත්න)

 
තලවතුගොඩ හෝකන්දර මාර්ගයේ හෝකන්දර හන්දියේ සිට මීටර් 200ක පමණ දුරින් මාර්ගයේ කොටසක් අද(17) ගිලා බැස ඇතැයි තලංගම පොලිසිය පවසයි.                                          

මාර්ගයේ එක් ස්ථානයක අඩි 10ක පමණ කොටසක්  එක්වරම ගිලා බැස ඇති අතර ඊට යාබදව ස්ථාන කිහිපයක්ම සුළු ගිලාබැසීම් සහ ඉරිතැලීම් සිදුව තිබේ.    
        
බර වාහන ධාවනයත්, පසුගිය දිනවල පැවති වර්ෂා තත්ත්වයත්, මාර්ගය හරහා ජලය ගෙන යන නළ පද්ධතියේ කටයුතු නිසි ප්‍රමිතියකින් සිදු නොවීමත් මෙම ගිලා බැසීමට හේතු වන්නට ඇති බව ප්‍රදේශවාසීහු කියති. 
                                       
මේ හේතුවෙන්  තලවතුගොඩ හෝකන්දර මාර්ගයේ කොටසක වාහන ගමනාගමනය සම්පූර්ණයෙන් ඇණ හිට තිබිණි.    
                                                      
මේ හේතුවෙන් විකල්ප මාර්ග භාවිත කිරීමට පොලිසිය රියදුරන්ට උපදෙස් දී තිබේ.



 
                    ",http://www.lankadeepa.lk/latest_news/තලවතුගොඩ---හෝකන්දර-මාර්ගයේ-ගිලාබැසීමක්/1-544052,තලවතුගොඩ - හෝකන්දර මාර්ගයේ ගිලාබැසීමක්
"
                        ( ප්‍රසාද් රුක්මල් සහ පාලිත ආරියවංශ )

බඹර  ප්‍රහාරයකින්  ඇල්ල  බල්ලකැටුව ප්‍රදේශයේ පාසලක සිසුහු 70 දෙනකු රෝහල් ගත කර ඇතැයි ඇල්ල පොලීසිය පවසයි.

පාසලේ නිවාසන්තර මලල ක්‍රීඩා  උළෙල පැවැත්වෙන අතරතුරදී  මෙම අනතුර සිදු වී ඇත.

 තුවාල ලැබු සිසුහු දෙමෝදර සහ බදුල්ල මහ රෝහල්වලට ඇතුළු කර ඇතැයි පොලීසිය පවසයි. 
                    ",http://www.lankadeepa.lk/latest_news/බඹර-ප්‍රහාරයකින්-සිසුහු-70ක්-රෝහලේ/1-544041,බඹර ප්‍රහාරයකින් සිසුහු 70ක් රෝහලේ
"
                        
( යොහාන් භාසුර)

ශ්‍රී ලංකා ක්‍රිකට් ආයතනයේ නිලවරණය සති දෙකකින් කල්දැමීමට ක්‍රීඩා අමාත්‍යාංශය පියවර ගෙන තිබේ. 

ඒ අනුව ලබන පෙබරවාරි මස 7 වැනිදා පැවැත්වීමට නියමිතව තිබූ නිලවරණය පෙබරවාරි මස 21 වැනිදා පවත්වන බව ක්‍රීඩා අමාත්‍යාංශය පවසයි.

ක්‍රීඩා  රෙගුලාසිවල පවතින ව්‍යාකූල තත්ත්වය නිවැරදි කිරීමට මෙම කාලය ලබාගෙන තිබේ. 
                    ",http://www.lankadeepa.lk/latest_news/ශ්‍රී-ලංකා-ක්‍රිකට්-නිලවරණය-කල්යයි/1-544058,ශ්‍රී ලංකා ක්‍රිකට් නිලවරණය කල්යයි
"
                        ( නිමන්ති රණසිංහ)

අක්කරේපත්තුව  මහ නගර සභාවේ  නියෝජ්‍ය නගරාධිපති අබ්දුල් ගෆීර් අස්මී  මහතා ලක්ෂයක ශරීර ඇප මත මුදාහරින්නැයි  කොළඹ අතිරේක මහෙස්ත්‍රාත් සනෝජා ලක්මාලි ජයතුංග මහත්මිය නියෝග කළාය.

ලබන 29 වැනිදා සිට 31 වැනිදා තෙක් ත්‍රස්ත මර්දන හා විමර්ශන කොට්ඨාසය වෙත ගොස් ප්‍රකාශයක් ලබා දෙන්නැයිද මහෙස්ත්‍රාත්වරිය නියෝග කළාය.

ත්‍රස්ත මර්දන හා විමර්ශන කොට්ඨාසය මගින්  උප නගරාධිපතිවරයා  මරදාන ප්‍රදේශයේදී අත්අඩංගුවට ගැනීමෙන් අනතුරුව අද අධිකරණයට ඉදිරිපත් කෙරිණි.

ත්‍රස්වාදී ක්‍රියාවලට සම්බන්ධ පුද්ගලයින් සමඟ රාජ්‍ය ආරක්ෂාවට තර්ජනයක් වන අයුරින් තොරතුරු සැපයීයැයි  ඔහුට විරුද්ධව  ඇති චෝදනාවකට  වරෙන්තු වී සිටියදී ඔහු මෙලෙස  අත්අඩංගුවට  ගෙන තිබිණි.

ඡායාරූප - ළහිරු හර්ෂණ





 

  
                    ",http://www.lankadeepa.lk/latest_news/අක්කරේපත්තුව-උප-නගරාධිපතිට-ඇප/1-544063,අක්කරේපත්තුව උප නගරාධිපතිට ඇප
"
                        ශ්‍රී ලංකාවේ ප්‍රමුඛ ව්‍යාපෘති තුනක් වෙනුවෙන් ආසියානු සංවර්ධන බැංකුවෙන් ඇමෙරිකානු ඩොලර් මිලියන 455 ක ණය ආධාරයක් ලබා ගැනීමට අදාළව ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා සහ පිලිපීනයේ මැනිලා නුවර පිහිටි ආසියානු සංවර්ධන බැංකු මූලස්ථානයේ සභාපති තකෙහිකෝ නාකාඕ  මහතා අතර ගිවිසුමක් අද (17) අත්සන් කෙරිණි.

 
පිලිපීනයේ  නිල සංචාරයක නිරත ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා අද පෙරවරුවේ පිලිපීනයේ මැනිලා නුවර පිහිටි ආසියානු සංවර්ධන බැංකු මූලස්ථානයේ නිරික්ෂණ චාරිකාවකට එක් විය. 
 
බැංකු මූලස්ථානය වෙත පැමිණි ජනාධිපතිතුමා එහි සභාපති තකෙහිකෝ නාකාඕ මහතා විසින් මහත් ගෞරවයෙන් යුතුව පිළිගනු ලැබීය.
 
අසියානු සංවර්ධන බැංකු මූලස්ථානය ස්ථාපිත කළ අවධියේ  සිට එහි සුවිශේෂී අවස්ථාවන් සිහිපත් කරමින් ප්‍රදර්ශනය කර ඇති ඡායාරූප එකතුව නැරඹීමට ද ජනාධිපතිතුමා එක් විය.
 
අනතුරුව ආසියානු සංවර්ධන බැංකුවේ සභාපති තකෙහිකෝ නාකාඕ  මහතා ජනාධිපතිතුමා හමු වී සාකච්ඡා පැවැත්වීමෙන් අනතුරුව මෙම ගිවිසුමට අත්සන් තබා ඇත.

(36698)







(ඡායාරූප - ජනාධිපති මාධ්‍ය අංශය) 
                    ",http://www.lankadeepa.lk/latest_news/ආසියානු-සංවර්ධන-බැංකුව-සමඟ-ජනාධිපතිවරයා-ගිවිසුමක්-අත්සන්-කරයි/1-544062,ආසියානු සංවර්ධන බැංකුව සමඟ ජනාධිපතිවරයා ගිවිසුමක් අත්සන් කරයි
