content,link,heading
"
                        (කේ බුද්ධික කුමාරසිරි )
 
කොළඹ - ගම්පහ දිස්ති‍්‍රක් යා කෙරෙන හංවැල්ල පාලම හරහා වාහන ධාවනය නැවත දැනුම් දෙනතුරු සීමා කිරීමට තීරණය කර ඇතැයි මාර්ග සංවර්ධන අධිකාරියේ අවිස්සාවේල්ල විධායක ඉංජිනේරු සංජීව එදිරිසිංහ මහතා පැවසීය.

එම පාලමේ ආරුක්කුවේ පවතින දෝෂයක් හේතුවෙන් පාලම සුළු වශයෙන් ගිලා බැසීමකට ලක්ව තිබෙන බවත් පාලම ප‍්‍රතිසංස්කරණය කටයුතු සිදුකරන බවත් ඔහු කීය. 

වර්ෂ 1962 මැයි මස 3 වැනි දා හිටපු අග‍්‍රාමාත්‍ය සිරිමාවෝ බණ්ඩාරණායක මහත්මිය විසින් මුල්ගල් තබා 1968 පෙබරවාරි මස 11 වැනි දා එවක තැපැල් හා විදුලි සංදේශ අමාත්‍ය මේජර් මොන්ටේගු ජයවික‍්‍රම මහතා විසින් මෙම පාලම ජනතා අයිතියට පත් කෙරිණි.

දකුණ සහ මධ්‍යම පළාත යා කෙරෙන කෙටිම ගමන් මාර්ගය ලෙස මෙම පාලම භාවිතා කිරීම නිසාවෙනුත් හයිලෙවල් මාර්ගයේ සහ ලෝ ලෙවල් මාර්ගයේ පැමිණෙන රථ වාහන පූගොඩ කිරිඳිවැල හා නව නුවර පාරට සම්බන්ධ වීම සඳහාත් වාහන විශාල සංඛ්‍යාවක් ධාවනය කරන බව අවිස්සාවේල්ල විධායක ඉංජිනේරු කාර්යාලය පවසයි.



 
                    ",http://www.lankadeepa.lk/latest_news/හංවැල්ල-පාලම-හරහා-යන-වාහන-සීමා-කරයි/1-543904,හංවැල්ල පාලම හරහා යන වාහන සීමා කරයි
"
                        (අනීෂා මානගේ)   
                                            
හඳුනානොගත් සලඹ විශේෂයක් ස්පර්ශ වීමෙන් ඇතිවන අසාත්මිකතාවයක් හේතුවෙන් ලුණුගම්වෙහෙර රණවරනාව සහ දෙව්රම්වෙහෙර ප්‍රදේශවල ජනතාව ඉමහත් පීඩාවට පත්ව සිටිති.

හම්බන්තොට දිස්ත්‍රික්කයට අයත් ලුණුගම්වෙහෙර සෞඛ්‍ය වෛද්‍ය නිලධාරී කොට්ඨාසයේ දෙව්රම්වෙහෙර සහ රණවරනාව ප්‍රදේශවල මේ දිනලදී ව්‍යාප්ත වී ඇති හඳුනා නොගත් සලඹ විශේෂයක් නිසා ඇතිවන අසාත්මිකතාවයක් හේතුවෙන් එම ප්‍රදේශවල ජනතාව පීඩාවට පත්ව සිටිති. 

මෙම සලඹ විශේෂය සම මත ස්පර්ශ වීමෙන් කැසීම, බිබිලි මතුවීම සහ සත්ත්වයා ස්පර්ශ වූ ස්ථාන රතු පැහැවීම ආදී රෝග ලක්ෂණ ඇතිවන බව ජනතාව පවසති. මේ හේතුවෙන් කුඩා දරුවන්ට මෙමගින් වැඩි හානියක් වී ඇතැයි ද ඔවුහු කියති. මේ දිනවලදී තරමක වියළි කාලගුණයක් පැවතීම හේතුවෙන් මෙම සලඹ විශේෂයේ ව්‍යාප්තිය වැඩි වශයෙන් සිදුවන බවද ඔවුහු පවසති. 

අප මේ සම්බන්ධයෙන් හම්බන්තොට දිස්ත්‍රීක් පරිපාලන මහජන සෞඛ්‍ය පරික්ෂක සමන් කුමාර මහතාගෙන් කළ විමසීමේදී ඔහු පැවසූයේ මෙම සලඹ විශේෂය එතරම් ප්‍රචලිත සලඹ විශේෂයක් නොවන තවමත් නිශ්චිතවම හඳුනාගෙන නොමැති  සලඹ විශේෂයක් වන අතර දහවල් කාලයේදී විදුලි පහන් කණු ආශ්‍රිතව රැඳී සිටිමින් විදුලි ආලෝකය පවතිද්දී එයට සතුන් ඇදී එන බවත්ය.

සළඹයන්ගේ ශරීරයේ පවතින සියුම් කුඩු වැනි ද්‍රව්‍යයක් මිනිස් ශරීරයේ ස්පර්ශ වීමෙන් අසාත්මිකතා ඇති වන බවට හඳුනාගෙන ඇති අතර අසාත්මිකතාවයන්ට ලබා දෙන ඖෂධ මගින් එය පාලනය කළ හැකි බවද ඔහු කියයි. 

කීට විද්‍යාඥයින් හරහා සලඹ විශේෂය හඳුනාගෙන එම සතුන් මර්දනය කිරීමට පරීක්ෂණ කටයුතු ආරම්භ කර ඇතැයිද ඔහු කීවේය. 







 


  
                    ",http://www.lankadeepa.lk/latest_news/හඳුනා-නොගත්-සලඹ-විශේෂයකින්-ලුණුගම්වෙහෙර-ගම්වැසියෝ-පීඩාවට/1-543907,හඳුනා නොගත් සලඹ විශේෂයකින් ලුණුගම්වෙහෙර ගම්වැසියෝ පීඩාවට
"
                        අජිත්ලාල් ශාන්තඋදය

 

සිංහරාජ වනාන්තරය මැද්දෙන් පාරක් කපන බවට පළවු තොරතුරු සම්පූර්ණයෙන් අසත්‍ය බව මහවැලි සංවර්ධන සහ පරිසර නියෝජ්‍ය ඇමැති අජිත් මාන්නම්පෙරුම මහතා පැවසීය.

ලෝක උරුම සිංහරාජ වනාන්තරයට කිලෝමීටර් එකහමාරක් මෙහායින් ඇති රක්‍ෂිත ප‍්‍රදේශය වසර 50 ක් පැරණි පාරක් ප‍්‍රතිසංස්කරණය කරන බවත් එහිදී ලෝක උරුම සිංහරාජයේ ජෛව විවිධත්වයට කිසිදු හානියක් නොවන බවත් ඇමැතිවරයා වැඩිදුරටත් පැවසීය.

සිංහරාජ ප‍්‍රවේශ පත‍්‍ර අලෙවි කාර්යාලයේ ශ‍්‍රවණාගාරයේ අද (15) පැවති මාධ්‍ය  හමුවකදී නියෝජ්‍ය ඇමැතිවරයා මේ බව පැවසීය.

ලෝක උරුම සිංහරාජ වනාන්තරය හරහා පාරක් කපමින් එහි ජෛව විවිධත්වයට හානි ගෙන දෙමින් සංවර්ධන ව්‍යාපෘතියක් ක‍්‍රියාත්මක කරන බවට පසුගිය දිනවල මාධ්‍ය හරහා පළවු පුවත් සම්බන්ධයෙන් පැහැදිලි කිරිම සඳහා මෙම  මාධ්‍ය හමුව කැඳවා තිබිණි.

එහිදී මහවැලි සංවර්ධන සහ පරිසර නියෝජ්‍ය ඇමැති අජිත් මාන්නප්පෙරුම මහතා මෙසේ කීය.

""සිංහරාජයේ ගස් කැපුවා, පාරවල් කැපුවා කියලා විවිධ ව්‍යාජ මත නිර්මාණය වෙන්න පටන්ගත්තා. මේ හැදුවයි කියන පාරදිගේ අද අපි ඔක්කෝම ඇවිදගෙන ආවා. පාර සුද්ද කරන්න එක ගහක්වත් ගහක් කපලා දාලා තියනවා දැක්කේ නෑ. දිරලා පාරට කඩාගෙන වැටිලා තිබුණ ගස් මුල් පිටින් අයින් කරලා තියනවා දැක්කා.  වන සංරක්‍ෂණ අධ්‍යක්‍ෂ ජනරාල්තුමා ඇතුළු නිලධාරීන් අපට පැහැදිලි කළා මේක පැරණි පාරක් කියලා. ඒ බව අපිට ඇවිත් බැලූවම තහවුරු වුණා. කාලෙකට ඉස්සර බැඳපු බෝක්කු අපි දැක්කා.

ඇතැම් තැන්වල නායයාම් , පස් කඩාගෙන වැටීම් සිද්ධවෙලා තියනවා අපි දැක්කා. වැහි කාලයට ගලාගෙන වතුර පාරවල් නිසා මේ යන පාරේ තැනින් තැන ද්‍රෝනි වගේ වළවල් හෑරිලා තිබුණා අපිට පෙන්නුවා. විශාල ගල් පෑදිලා පයින් යන්නවත් බැරි තත්ත්වයට පත්වෙලා, දෙස් විදෙස් සංචාරකයන් වැටිලා අතපය පවා කැඩුණු අවස්ථා අපි දැක්කා. ප‍්‍රවේශපත‍්‍ර කවුලූව අසලදී හමුවුණ ගමේ අයත් මා සමඟ කිව්වා. සමහර විදෙස් සංචාරකයෝ වැටිලා ආබාධ වුණාම පුටුවල තියලා උස්සාගෙන ගිය අවස්ථා තිබුණා කියලා. කොහොමවත් මේ ප‍්‍රතිසංස්කරණය කරන පාරේ වාහන ගමන් කරන්න අපි ඉඩ දෙන්නේ නෑ.""

මෙම අවස්ථාවට වන සංරක්‍ෂකවරුන් වන මහින්ද සෙනෙවිරත්න, නන්ද කුමාර, සබරගමු හා දකුණු පළාත්භාර කලාප වන සංරක්‍ෂක කුමාරසිරි, රත්නපුරදිසා වන නිලධාරී ප‍්‍රසාද් කුමාර, අතිරේක දිසා වනනිලධාරී තිස්ස ඩයස් බණ්ඩාර, සිංහරාජ වන පාළක අජිත් ජයසිංහ යන මහත්වරු ද මාධ්‍ය ආයතන නියෝජනය කරමින් මාධ්‍යවේදීහූ රැසක් ද පැමිණ සිටියහ. 
                    ",http://www.lankadeepa.lk/latest_news/ප්‍රතිසංස්කරණය-කරන්නේ-සිංහරාජය-අසළ-වසර-50-ක්-පැරණි-පාරක්/1-543899,ප්‍රතිසංස්කරණය කරන්නේ සිංහරාජය අසළ වසර 50 ක් පැරණි පාරක්
"
                        ශ්‍රී ලංකා නිදහස් පක්ෂ සංවිධායකවරුන් පිරිසක් තමා හමුවී රටේ මෙන්ම පක්ෂයේද ප්‍රශ්න ඇති බව සඳහන් කරමින්  ඔවුන් අතරමං වී ඇති බව පැවසී යැයි  හිටපු ජනාධිපතිනි චන්ද්‍රිකා බණ්ඩාරනායක කුමාරතුංග මහත්මිය ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතාට ලිපියක්  යොමු කරමින් සඳහන් කර තිබේ.

ශ්‍රී ලංකා නිදහස් පක්ෂය රටේ බහුතරයක් ජනතාව විසින් ප්‍රතික්ෂේප කරන ලද  පක්ෂ සහ කණ්ඩායම් සමඟ එකතු  වීම තමා කිසිසේත්ම අනුමත නොකරන බව බවත්  එම ලිපියෙන් දන්වා ඇත.

එමෙන්ම  ඔවුන්ගේ එම ගැටළුවලට පිළිතුරු දෙමින්  කිසි දිනෙක ශ්‍රී ලංකා නිදහස් පක්ෂය හැර දමා වෙනත් පක්ෂවලට  සම්බන්ධ නොවන  ලෙසට  තමා  ඔවුන්ට උපදෙස් දුන් බවත් පක්ෂය ශක්තිමත් කිරීමට කටයුතු කරන ලෙස  පැවසු බවත්  එම ලිපියේ  වැඩි දුරත් සඳහන් කර තිබේ.

ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතාට හිටපු ජනාධිපතිවරිය යොමු කළ ලිපිය පහත දැක්වේ.

(36698)

 

 
                    ",http://www.lankadeepa.lk/latest_news/අතරමංවූ-ශ්‍රීලනිප-සංවිධායකරු-චන්ද්‍රිකා-හමුවෙති/1-543905,අතරමංවූ ශ්‍රීලනිප සංවිධායකරු චන්ද්‍රිකා හමුවෙති
"
                        (උපුල් හේරත්)

දුම්කොළවල හට ගන්නා කෘමි උවදුරට යොදා ගන්නා කාබනික දිලීර නාශකයක් යොදා  සිය  බඩ ඉරිඟු වගාවේ  සිටි සේනා දළඹුවන් විනාශ කිරීමට හැකි වූ බව  ගලෙන්බිඳණු වැව  , තෝඩාමඩුව, යකල්ලේ ගොවි මහතෙකු  කියයි.


සේනා දඹුවා සිය වගාවෙන් මර්දනය කර  දැමු බව ගලෙන්බිඳුණු, තෝඩාමඩුව, යකල්ලේ පදිංචි ගොවි මහතකු වන  බී විජේසිංහ ගොවි මහතා   අවධාරණය කරයි. 


මෙම ගොවි මහතා පවසන කරුණ සම්බන්ධයෙන් විමසීමේදී  මහඉලුප්පල්ලම කෘෂි පර්යේෂණ ආයතනයේ කීට විද්‍යාඥ නිශාන්ති ගුණවර්ධන මහත්මිය   සඳහන් කළේ  විදේශ රටකින් සංක්‍රමණය වූ බවට සැලකෙන මෙම සේනා දළඹුවා වැනසීමට කෘමි නාශක වර්ග 12ක් සොයගෙන  ඇති බවයි.


නමුත්  එම  කෘමිනාශක වලින්  කෘමින් විනාශ වුවත් , සේනා දළඹුවාගේ බිත්තර වලින්  හටගන්නා කෘමීන් විනාශ කිරීමේ හැකියාවක් නොමැති බව  ගුණවර්ධන මහත්මිය සඳහන් කළාය.


කෙසේ වුවද බී.විජේසිංහ  ගොවි මහතා  පවසන මෙම කතාවේ සත්‍යතාව පිළිබඳව  සොයා බලන බවද  ගුණවර්ධන මහත්මිය පැවසුවාය.


(85515)

  
                    ",http://www.lankadeepa.lk/latest_news/ගලෙන්-බිඳුණුවැව-ගොවිමහතාගේ--මතයට-කීට-විද්‍යාඥවරියගේ-අවධානය/1-543886,ගලෙන් බිඳුණුවැව ගොවිමහතාගේ  මතයට කීට විද්‍යාඥවරියගේ අවධානය
"
                        (ටී.කේ.ජී.කපිල )

ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා ඇතුළු දූත පිරිස   නිල සංචාරයක් සදහා  අද  (15)  පිලිපීනයට පිටත්ව ගියහ.
  
ජනාධිපතිවරයා ඇතුළු දූත පිරිස  දින පහක සංචාරයක් සඳහා කටුනායක ජාත්‍යන්තර ගුවන් තොටුපළෙන් පිටත්ව ගිය බව ගුවන් තොටුපළ කාර්යභාර නිලධාරීවරයා පැවසීය .

අද  (15)  දින  උදෑසන 11.10 ට සිංගප්පූරුව බලා පිටත්ව ගිය සිල්ක් එයා ගුවන් සේවයේ එම්.අයි.- 427 දරණ ගුවන් යානයෙන් පිටත්ව ගිය අතර , එහි දූත පිරිස ලෙස 13 දෙනෙකු එක් වී සිටියහ . 
                    ",http://www.lankadeepa.lk/latest_news/ජනාධිපතිවරයා-ඇතුළු-දූත-පිරිස-නිල-සංචාරයක්--සඳහා-පිලිපීනයට/1-543898,ජනාධිපතිවරයා ඇතුළු දූත පිරිස නිල සංචාරයක්  සඳහා පිලිපීනයට
"
                        (ජී. ඩබ්ලිව්. කේ. ප්‍රේමතිලක ද සිල්වා)
 
කරාපිටිය ශික්ෂණ රෝහලේ අංක 04 වාට්ටුවේ කොරිඩෝවක වහලයේ එල්ලෙමින් තිබූ රෝගියෙකුගේ මළ සිරුරක් අද (15) අලුයම හමුවූ බව රෝහල්  පොලීසිය පවසයි.‍


මිය ගොස් ඇත්තේ 59 හැවිරිදි පුද්ගලයෙකි.
 
මිය ගිය පුද්ගලයා දින කීපයක සිට රෝහලේ නේවාසිකව ප්‍රතිකාර ලබමින් සිටි බව  මූලික විමර්ෂණයේදී අනාවරණය වී ඇතැයි පොලිසිය කියයි. 
 
මෙම සිද්ධිය සම්බන්ධයෙන්  කරාපිටිය ශික්ෂණ  රෝහල් පොලීසිය වැඩිදුර  පරීක්ෂණ පවත්වයි.    
                    ",http://www.lankadeepa.lk/latest_news/කරාපිටිය-රෝහලේ-වහලයක-මළ-සිරුරක්-එල්ලෙයි/1-543894,කරාපිටිය රෝහලේ වහලයක මළ සිරුරක් එල්ලෙයි
"
                        (ඩයනා උදයංගනී)
 
කොළඹ වරාය නගරය ඉදිකිරීම සඳහා මුහුද ගොඩකිරීමේ කටයුතු මේ වන විට සම්පූර්ණයෙන් අවසන් කර ඇතැයි මහනගර සහ බස්නාහිර සංවර්ධන අමාත්‍යාංශය පවසයි.   
 
හෙක්ටාර 269 ක භූමියකින් සමන්විත කොළඹ වරාය නගරයේ මීළඟ අදියර ලෙස ගොඩනැඟිලි සහ අනෙකුත් ඉදිකිරීම් කටයුතු ආරම්භ කිරීම ඉදිරියේදී සිදුකරන බව ද අමාත්‍යාංශය සඳහන් කරයි.
               
ගොඩකිරීම් අවසන් කළ වරාය නගරය නිරීක්‍ෂණය කිරීමේ චාරිකාවක මහනගර සහ බස්නාහිර සංවර්ධන අමාත්‍ය පාඨලී චම්පික රණවක, ශ්‍රී ලංකාවේ චීන තානාපති චැන් ෂුයෑංග් මහතා ඇතුළු පිරිසක් හෙට (16) දිනයේදී නිරතවීමට නියමිතය.
               
කොළඹ වරාය නගරය හෙවත් ‘පෝර්ට් සිටි’ ව්‍යාපෘතිය මෙරට ඉතිහාසයේ ඉදිකෙරෙන විශාලතම සංවර්ධන ව්‍යාපෘතිය ලෙස දැක්වෙන අතර එහි ඉදිකිරීම් චීන ජනාධිපති ෂි ජිංපින්ග් සහ එවකට ශ‍්‍රී ලංකා ජනාධිපතිවරයාව සිටි මහින්ද රාජපක්ෂ යන මහත්වරුන්ගේ ප‍්‍රධානත්වයෙන් පසුගිය 2014 වසරේ සැප්තැම්බර් මස 16 වැනිදා ආරම්භ කෙරිණි.

මෙය ආරම්භයේදී පරිසර සංවිධාන හා බොහෝ පාර්ශවවලින් විරෝධතාවන් ද මතු වූ අතර පසුගිය 2015 වසරේ පැවති ජනාධිපතිවරණයේදී සහ මහ මැතිවරණයේදී මෙම නගරය ඉදිකිරීම ගැන දෙවරක් සිතා බලන බවට දේශපාලන පොරොන්දු පවා ලබාදීමට වත්මන් ජනාධිපති මෛත‍්‍රීපාල සිරිසේන මහතාගේ සහ එක්සත් ජාතික පෙරමුණු පාර්ශවයන් කටයුතු කර තිබිණි.
 
මෙහි ඉදිකිරීම් කලක් නවතා දමා තිබූ අතර පසුව නැවතත් පරිසර හා තාක්‍ෂණික ආදී ඇගයීම් වාර්තා ලබාගැනීමෙන් අනතුරුව යළිත් මෙහි ඉදිකිරීම් කටයුතු ආරම්භ කෙරුණේ නව රජයේ මහ නගර හා බස්නාහිර පළාත් සංවර්ධන අමාත්‍යාංශය යටතේය.
 
මෙහි ආර්ථික කලාපය පළමුව ඉදිකිරීමට නියමිත අතර සමස්ත ව්‍යාපෘතිය තවත් වසර 25කින් පමණ අවසන් කිරීමට නියමිතය.         
 
මෙම කොළඹ වරාය නගරය අතිනවීන පහසුකම් රැසකින් සමන්විත වනු ඇති අතර බැංකු කාර්යාල, අලෙවිසල්, හෝටල් හා ආපනශාලා, තානාපති කාර්යාල, නිවාස හා නිවාස ඒකක, බද්ධ නිවාස ගොඩනැඟිලි, සෞඛ්‍ය, අධ්‍යාපන සහ පර්යේෂණ හා සංවර්ධන ආයතන, විවෘත වෙළෙඳ ප‍්‍රදේශ, රූපලාවන්‍ය, බේකරි, රෙදි සේදුම්, මුද්‍රණ, පරිගණක අලූත්වැඩියා, කුඩා පරිමාණ කලා හා අත්කම්, මෝටර් රථ හා මෝටර් සයිකල් නඩත්තු, පයිප්ප වැඩ, වඩු වැඩ සහ වෙනත් ඒ ආකාරයේ කුඩා ව්‍යාපාර, ආපනශාලා, පේ‍්‍රක්ෂකාගාර, පුවත්පත් විකුණුම් ස්ථාන, පොත් සාප්පු, එළිමහන් හා ගෘහස්ත විනෝදාස්වාද ස්ථාන, කලාගාර, සමාජ ආර්ථික මධ්‍යස්ථාන, 
ආදී අංග රැසකින් සමන්විත වනු ඇතැයි ද මහනගර හා බස්නාහිර පළාත් සංවර්ධන අමාත්‍යාංශය පවසයි.

මෙම නගරය කටුනායක හා සම්බන්ධ කෙරෙන අධිවේගී මාර්ගයක් ද ඉදිකිරීමට නියමිතය. 
                    ",http://www.lankadeepa.lk/latest_news/වරාය-නගරයේ-ගොඩකිරීම්-අවසන්/1-543909,වරාය නගරයේ ගොඩකිරීම් අවසන්
"
                        (අජන්ත කුමාර අගලකඩ)
 
සේනා දළඹුවා මර්දනයට වහාම වැඩපිළිවෙළක් සකස් කරන්නැයි ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා කැබිනට් රැස්වීමේදී අද (14) ප්‍රකාශ කර ඇත.


සේනා දළඹුවා මර්දනය නොකළහොත් රටේ ආහාර සංස්කෘතියටද බරපතල ගැටලුවක් ඇතිවිය හැකි බව ජනාධිපතිවරයා කැබිනට් රැස්වීමේදී ප්‍රකාශ කර තිබේ.


රට තුළ හොඳ අස්වැන්නක් ලැබෙමින් තිබියදී සේනා දළඹුවාගේ ක්‍රියාකලාපය කෘෂි ආර්ථිකයට දැඩි බලපෑමක් එල්ල කරමින් තිබෙන බව පවසා ඇති ජනාධිපතිවරයා එය මර්දනය කිරීමට හැකි ඉක්මණින් පියවර ගත යුතු බව සඳහන් කර ඇත. 
                    ",http://www.lankadeepa.lk/latest_news/සේනා-දළඹුවා-මඬින්න-වැඩපිළිවෙළක්-හදන්නැයි-ජනපති-කියයි/1-543849,සේනා දළඹුවා මඬින්න වැඩපිළිවෙළක් හදන්නැයි ජනපති කියයි
"
                        (රංජිත් රාජපක්ෂ)
                        
හැටන් පොලිස් වසමට අයත් යුන්ෆිල්ඩ් වතුයායේ පහළ කොටසේ පදිංචිව සිටි පාසල් සිසුවකුට තියුණු ආයුධයකින් පහරදී වම් අත කපා වෙන් කළ සැකකරුවකු හැටන් පොලිසිය විසින් අත්අඩංගුවට ගනු ලැබීය.

පාසල් සිසුවා සහ සැකකරු අතර පෞද්ගලික ආරවුලක් සම්බන්ධයෙන් ඇති වුවේ යැයි කියන බහින්බස් වීමක් දුරදිග යාමෙන් පසු සැකකරු පාසල් සිසුවාට පහර දී සිසුවාගේ වම් අත කපා වෙන් කර ඇති තිබේ.

සැකකරු සහ තුවාල ලැබු සිසුවා එකම නිවාස පේළියක පදිංචිකරුවෝ වෙති.

බරපතල ලෙස තුවාල ලැබු සිසුවා දික්ඔය මුලික රෝහල වෙත ඇතුළත් කිරිමෙන් පසු වැඩිදුර ප්‍රතිකාර සඳහා පේරාදේණිය ශික්ෂණ රෝහල වෙත මාරුකර යවා ඇත.

තුවාල ලද සිසුවා හැටන් කොටගල ප්‍රදේශයේ ප්‍රධාන දෙමළ පාසලක උසස් පෙළ විෂය හදාරන 18 හැවිරිදි සිසුවෙකි.

සිද්ධිය සම්බන්ධයෙන් හැටන් පොලිසිය පරීක්ෂණ පවත්වයි.







  
                    ",http://www.lankadeepa.lk/latest_news/පාසල්-සිසුවකුගේ-අත-කැපූ-පුද්ගලයෙක්-අත්අඩංගුවට/1-543851,පාසල් සිසුවකුගේ අත කැපූ පුද්ගලයෙක් අත්අඩංගුවට
